ID	Topic	Text	Sentiment
219	general	Sinus headache.  That's all I've got to say.	negative
220	general	@JosieOlson Wish I could send good news your way. 	negative
221	general	A little sneak peak at today's mini photo shoot. Lemme know what you think.  http://bit.ly/PiY4W	positive
222	general	is getting cabin fever, it has been weeks of the bike and hasnt got the ok from the doc to start riding again.. 	negative
223	general	oh p.s. anybody else following @tinybuddha? i love the lil guy, hes the greatest 	positive
224	general	@askeydesign oh no how poo 	negative
225	general	It's cool. Raining. Dark. It's Monday. I'm tired. Why did I get up 	negative
226	general	@keesbabylove  I can't wait for my blackberry to get here!  *hopefully* this week.    (I had to order it through work)	positive
227	general	@JustJayde  glad you likey	positive
228	general	@AfricanABC if only I could blame drink... last night was all me   - Maybe a drink now will help though...	negative
229	general	@hearted that happened to me so often, i hated it. every time i moved to a username that i thought i'd love, i moved soon after. 	negative
230	general	I am bored.... Can't wait to get to Nashville in 5 days, but is really sad one of my best friends won't be there... DD 	negative
231	general	My cat broke my chair. 	negative
232	general	can't fall asleep. 	negative
233	general	if anyone fells like sponsoring an Arduino Workshop, I'm totally available  http://www.elemento-indesejado.pt/ ... honest ;)	positive
234	general	major office spring cleaning... just in time before the summer 	positive
235	general	Have you ever listened to a song that made you cry because it described exactly how you felt? Having a moment 	negative
236	general	@gabboucla a little delayed but i think we've seen them more OFF tour then ON tour since SB LOL. i love it 	positive
237	general	Please watch and comment! Thanks  Here's the link: http://twitpic.com/photos/pahmee94	positive
238	general	@Lindsay3166 i miss youuuuu. 	negative
239	general	@_kAterade_  you're as delicious as sweet sun tea on a tybee island sundeck in august. i know...i been there 	positive
240	general	Writing some songs at the piano 	positive
241	general	Oh, and Good Morning everyone 	positive
242	general	@jeremyjantz I'll take that for what I've done 	negative
243	general	having fun with ELMO 	positive
244	general	@KrisAlcos oh yes. it might sound like shit but i'll let you read the lyrics. wish i could sing but i dont have the gift. and thnx alot!! 	positive
245	general	*Aricellas Leah; bored on tha phone with ma kumpette...tryna find somethin too do or a party too hit up... ttly 	positive
246	general	Exhausted + test 2mrw 	negative
247	general	#BNP = Bad Night for Politics 	negative
248	general	Final Fantasy XIII should only be able to play with PS3, because NO one is buying PS3, so now they don't care PS3 anymore 	negative
249	general	ITS SOOOOOOOOOOO HOT AND MY PARENTS WONT LET ME TURN ON THE FAN!!!!!!  I THINK I MIGHT DIE D:  http://tinyurl.com/lpqux4	negative
250	general	@zoebakes He was very excited! He tried to eat the cake before I finished (he`s 2). I figure by the time he`s 10, I`ll be an expert. 	positive
251	general	@TheKellanLutz you should watch twilight! 	positive
252	general	no more drinkin 4 9 monthz 	negative
253	general	@MzzWaters THANKS 	positive
254	general	is thinking of buying a new earphones today. Sobrang laspag na kasi yung luma ko  http://plurk.com/p/z6qhy	negative
255	general	@VixOrien Ohh, that explains it. My bad. I don't have the insight you're allowed by teaching the youth of America 	positive
256	general	@JayBedford that is a good choice. I've enjoyed him live!! He's a hit with the ladies!  good call!!	positive
257	general	@FingersK @shedfire @spittingcat @Saddledown tomorrow's tuesday tech ride is a goer then 	positive
258	general	@evelynsmiles im pretty cool right? 	positive
259	general	out with my momma, be back soon 	positive
260	general	dear modern europe. i? love you. sososos much and murr !  &lt;3	positive
261	general	@affy what? me liking magnum? *rawrr* hahahahah! eh me want pictures pronto! 	positive
262	general	in my house with xemoxloserx I feel very sick 	negative
263	general	@cocosmalls im trying to find my happy place again right now 	negative
264	general	just found out that because of the weather, day 1 of my softball tournament is cancelled so im not going to Jersey till Sunday 	negative
265	general	about to get stuck in to homework. soooo not good. don't want to do homework. But i have to... 	negative
266	general	SERIOUSLY federov, way to go to russia 	negative
267	general	@terri5me2000 give me their #.... I'll call &amp; demand they give it to ya, LOL! Now a days ur lucky if ya get a thank you 	negative
268	general	@isodorusweb I guess that shows the world that nuns have interesting lives 	positive
269	general	@iAmAqurate yeah...I got 4am tomorrow! Training my clients!  peace!	positive
270	general	@Dannymcfly Too right your own fault! haha! Go on get clearing out the studio then  Have fun! Are you doing t4 this year? Tweeeeeeeeet ;)x	positive
271	general	Ich gehe jetzt, bye Sie erstaunliche Menschen. i'm so german, i should be a knee slap dancer person with that hat with the feather in it 	positive
272	general	@xsameehx wish you were here my love. Our superhero trio is not the same as a duo only 	negative
273	general	people should leave animals alone.. they have feelings too you know 	negative
274	general	The magic smoke has escaped from my music player 	negative
275	general	i thought ur account @DavidArchie was fake. but, it's true, sorry david! 	positive
276	general	@Payaso_NTPXXX that's  mean 	negative
277	general	Jim's going-away party is today... so much fun! But I sure will miss him 	negative
278	general	@peterfacinelli seeing the counter jumping up and down  but still thinking youÂ´ll make it!	negative
279	general	3 out of 3 times ive eaten there. Never again 	negative
280	general	@GrenzePhoto Thanks for following. I love the photography http://tinyurl.com/grenzephoto totally up my alley 	positive
281	general	Good morning 	positive
282	general	New blog post: Google AdWords keeps declining my Unionbank E-On VISA card  What's wrong? http://bit.ly/9FOWu	negative
283	general	@JessicaSara that's adorable! sounds like a good omen to me too 	positive
284	general	so worn-out.. 	negative
285	general	took kiddo to get his glasses and he looks very handsome in them...can't believe how fast he's growing up 	negative
286	general	@wwecodyrhodes Haha a hippo xD will wait for you 	positive
287	general	Geez stare much! Wat is with ppl these days can't I order a coffee in peace 	negative
288	general	cant vlog coz i have no iMovie at the moment  i really wanted to make a video today 	negative
289	general	facebuk rocks 	positive
290	general	 boooo! My iPhone is dying!	negative
291	general	ugh I hate being the only one awake at my house 	negative
292	general	don't understand twitter 	negative
293	general	My haircut   still pretty though  http://twitgoo.com/oj2g	negative
294	general	@olympiahoops Goodmorning O! You know I'm going to miss you tonight!  Have a great day w/ur family,fiance,and friends. I'm so EXCITED!	negative
295	general	i dont know if i can do this anymore  i miss la... wow i never thought id tweet that	negative
296	general	I'm so in love w/yooou&lt;3 aha ilove you babe, Happy 1yr and 4months 	positive
297	general	@sunshine_diva hi! I just mostly hung out with family 	positive
298	general	looking forward to dress shopping tomorrow 	positive
299	general	going on a hike/picnic/ i better not get another sun burn today...yay   did i mention i LOVE summer?	positive
300	general	happy mother's day, mom  I hope the breakfast was nice.  I love u ?	positive
301	general	says Morning World! Missing everyone already, but now it's time for class  (cozy)Safe travel to you all!... http://plurk.com/p/rr3uq	negative
302	general	@WindPillow i think hes my favourite 	positive
303	general	@SaidaGP what's happened to your rabbit? 	negative
304	general	Going grocery shopping 	positive
305	general	Really feeling sick, dunno whats wrong with me 	negative
306	general	i wishhhhhhhh i could go to bedddddd 	negative
307	general	@docbaty agreed! did you notice the &quot;new site walk through&quot; link? Made me laugh! But I do like! Right next to &quot;Feedback&quot; link too! 	positive
308	general	Saw that movie Dance Flick, it was corny as HELL!!! But N Ewayz it's time to chill out and relax cuz my mind is startin to wonder 	negative
309	general	@OfficialAshleyG Heath Ledger. R.I.P 	negative
310	general	Wants more lemony snicker's book pls 	positive
311	general	@vegbabi: so you're finding a hot lover to spend your nights with, no? within the 65+ bracket, of course. and boo. summer in the south 	negative
312	general	 just annoyed	negative
313	general	These bands are still hurting  feels like my gums are swollen from them	negative
314	general	@NassauCT Mine's just beginning again.. still dark out but I'm sure it will be another beautiful day 	positive
315	general	@julioreguia that's the spirit! q les vaya increible Julio 	positive
316	general	@eric_andersen Actually, this is my Google Business Card: http://is.gd/MpAj (Wish Bing would provide me w/ similar one  )	negative
317	general	He is here, and I am so glad. 	positive
318	general	Just got done taking a portion of my test. To be honest, I don't really know how I did. Im so upset right now. 	negative
319	general	@1969jojo: i've never had one  but i did have a very delicious breakfast wrap. um YUM?	negative
320	general	@tommcfly hahah I lost the show  I live far away from buenos aires, 2000 km. My best friend went, I waiting for her call! Love your music!	negative
321	general	@muriente am I able to test the 2.0 theme?? The link you gave me to the 1.0 didn't work!! 	negative
322	general	@MariahCarey Please follow! 	positive
323	general	@DuoTangProd nice sound... 	positive
324	general	@claudiadiza oh i know dizaa,i must have missed that awesome b'day surprise, wish i were there, 	positive
325	general	http://twitpic.com/6ay9j - Omg do want this wrx that was at ea 	negative
326	general	i have boogies 	negative
327	general	@KGWSunrise I missed you guys this morning. I'm in Tacoma w/ no KGW to start my day. 	negative
328	general	is sipping her morning tea with milk  mmm	positive
329	general	@skyfire hey i am an nokia e63 user ...a s60 FP1 phone btw... cant get sky fire 0.9 running..it just dosent seem to want to start! 	negative
330	general	@Sanya29 he seems to have women. And jews :S. But LOL someone just had a massive go at him which shut him up   Yay! how's you when's ...	positive
331	general	@philloau yep 	negative
332	general	@officialTila I give up... You don't really reply 	negative
333	general	@ddlovato Are you okay with me buyinh your album when it comes out ?? 	positive
334	general	just got in the crib, dreadin goin to work tomorrow, 	negative
335	general	I have a really bad headache its like a stinging rush in my head. I cant sleep anymore either. 	negative
336	general	ugh. theres nothing to do. summer school starts Thursday. 	negative
337	general	@N_Y_Yankees changed my default pic since you've been showing so much love! 	positive
338	general	@craw4d nothin a little robitussin won't kill  thanks for the well wishes now I feel better but can't sleep	positive
339	general	just got back from shopping. pretty good day. and toris party tonight. gonna get messy 	positive
340	general	installed windows 7 on laptop, so far its A LOT better than Vista   Think xp will finally have a successor	positive
341	general	@organicBublegum I tweet u all the yikes 	negative
342	general	@ebassman Yo dude... If this is really you... I challenge you to a dance-off! I will SMOKE YOU!   http://bit.ly/HGzxc	positive
343	general	It's strange how watching The Pursuit of Happiness can cause me excess anxiety about life. I just feel so bad for people like that. 	negative
344	general	@SineadGrainger I know DD: It sucks to be in the UK at times like these. They'll be over here soon enough hopefully 	positive
345	general	Mr H still trying to fix the Landrover so unless he gets it going 2nite and MOTd tomorrow there will be -ve camping this weekend 	negative
346	general	lifee's beeing meann 	negative
347	general	@sam_theman im not evil im dangerous  lol oh well i guess den its okii dokii :b	positive
348	general	@panacea81 hahaha, awww!  that's not funny  (i want my fucking money so i can buy some kits from you, and its really cheep (cheap?) 	negative
349	general	@heatherxdaniels man i wasnt! i left it in my purse.. in the car... idk who gave me my phone... idk...  it sucks	negative
350	general	gonna go to sleep. i'm in a depressed mood tonight and idek why, i should be excited for tai  goodnight...	positive
351	general	Ready to go home  2 more hrs of wrk	negative
352	general	off to bed now... nytynyt tweety tweet tweets... 	positive
353	general	On the train back home now, I want to stay in london though 	negative
354	general	Is at the beach. 	positive
355	general	@mariaruizx Ur right, when I saw the movie for the 1st time I was dying at the theater! With the Audi R8, just perfect 	positive
356	general	oh...no things are not looking good here http://tinyurl.com/l45vno 	negative
357	general	@chrisdior06 a good photog never forgets pictures they take! I saw ur other twitpics... you really love ur legs and feet don't chu? 	positive
358	general	@grissay but i was made on the bad cloud 	negative
359	general	Ffffuuuu the dress i wanted to buy is sold out 	negative
360	general	@Rafael__ it was a dude from new York on eBay ..he only had a 10.5 ..if it was 11 I'd be all over it ..but after seeing @bckwild  deal 's 	negative
361	general	@rapslikeportman BK sounds hella good  can we go after 6 ?	positive
362	general	@tangledally Thank you! I suspected it was but had a nagging suspicion it was from an old Western/musical.  Thanks! 	positive
363	general	is currently @ home 	positive
364	general	Im just sooo amused how 99x is b/c they're like a mix w/ indie and alternative and alil metal bands and all its just cool i love it! 	positive
365	general	@siso2 oh, so sorry to hear that... 	negative
366	general	@donnashy45 yes I guess you are right.... shame though 	negative
367	general	@LHiltonCreative Thanks! I was about to launch tweets, FB updates and a Live Journal entry to honor my mom! Thanks for flagging me off. 	positive
368	general	My new bass head is on its way 	positive
369	general	@JamesHancox LOL i cant do any twangs 	negative
370	general	Lack of sleep catching up with me.  I thought I would be alright up till lunch. 	negative
371	general	http://twitpic.com/44781 - over 100 views  iÂ´m happy.	positive
372	general	@ebassman make sure it super tight for CHItown.. 6/26  see ya there? after party my house...lol	positive
373	general	3 hours down 7 to go on my first day of work!! 	negative
374	general	is impatiently waiting for her little sister to get here! 	positive
